Date,Open,High,Low,Close,Volume
2014-11-19,42.808,42.827,41.966,42.354,589576
2014-11-20,42.354,42.761,41.976,41.976,685342
2014-11-21,41.994,43.499,41.994,43.186,1709314
2014-11-24,42.771,43.092,41.427,41.956,732827
2014-11-25,42.023,42.042,41.342,41.342,1038980
2014-11-26,41.531,42.572,41.417,42.572,969212
2014-11-27,42.534,42.789,42.458,42.741,608541
2014-11-28,42.771,43.186,42.666,42.733,983488
2014-12-01,42.572,43.48,42.562,43.139,573316
2014-12-02,43.48,44.625,43.375,44.596,961186
2014-12-03,44.625,45.202,44.502,44.889,999094
2014-12-04,44.824,46.772,44.824,45.438,2487926
2014-12-05,45.438,46.545,45.438,46.403,1291293
2014-12-08,46.63,47.046,46.157,46.829,1110120
2014-12-09,46.592,46.734,45.041,45.476,1379588
2014-12-10,45.457,46.185,44.653,44.748,1056410
2014-12-11,44.842,46.072,44.766,45.788,926555
2014-12-12,45.883,46.243,45.428,45.873,764470
2014-12-15,45.581,45.77,45.05,45.41,1095781
2014-12-16,45.031,45.277,42.704,43.886,1761743
2014-12-17,43.565,45.239,43.423,44.625,989650
2014-12-18,45.315,46.261,44.861,46.261,884213
2014-12-19,46.261,46.374,45.514,46.167,1705456
2014-12-22,45.968,46.356,45.722,46.356,469999
2014-12-23,45.977,46.517,45.75,45.883,386407
2014-12-29,46.072,46.488,45.637,45.883,882182
2014-12-30,45.599,46.422,44.947,46.28,893329
2015-01-02,46.28,46.346,45.514,45.93,401155
2015-01-05,45.694,46.1,44.794,45.173,910869
2015-01-07,44.955,47.624,44.955,47.245,2414805
2015-01-08,47.302,48.532,47,48.532,958810
2015-01-09,48.342,49.09,47.869,48.503,1019785
2015-01-12,48.276,48.693,47.586,48.674,442067
2015-01-13,48.532,49.147,48.522,49.147,970824
2015-01-14,49.099,49.099,47.813,48.437,1223265
2015-01-15,48.995,49.09,46.564,46.706,1427577
2015-01-16,46.829,47.954,46.082,47.737,1118711
2015-01-19,47.737,48.021,46.592,47.662,784578
2015-01-20,47.908,49.317,47.671,48.248,820020
2015-01-21,48.494,50.14,48.484,50.14,1163697
2015-01-22,50.14,50.982,49.828,49.866,787091
2015-01-23,49.147,50.48,48.721,50.433,1231205
2015-01-26,50.235,50.235,49.204,49.572,650350
2015-01-27,49.62,51.323,49.62,51.039,1451109
2015-01-28,51.086,51.086,49.941,49.941,829656
2015-01-29,49.809,52.269,49.809,52.221,1449441
2015-01-30,52.032,52.827,51.096,51.891,1312918
2015-02-02,51.663,52.874,49.866,49.941,1446903
2015-02-03,50.225,51.559,49.979,51.559,1346610
2015-02-04,51.559,52.269,51.209,51.966,1084726
2015-02-05,51.446,52.486,51.086,51.464,1851196
2015-02-06,51.228,52.401,51.228,52.401,1121824
2015-02-09,52.211,52.211,51.587,52.032,818570
2015-02-10,51.975,52.41,51.635,52.07,830860
2015-02-11,52.032,52.287,51.104,51.388,1057060
2015-02-12,52.921,52.978,51.796,52.921,1087262
2015-02-13,52.789,53.451,52.515,53.347,1519588
2015-02-16,53.252,53.441,53.129,53.404,1048232
2015-02-17,53.394,53.63,53.205,53.451,736422
2015-02-18,53.64,53.64,52.42,52.42,1243265
2015-02-19,52.553,52.732,51.275,51.418,1242044
2015-02-20,51.37,52.032,51.134,52.032,657401
2015-02-23,52.08,53.508,52.08,53.451,1665591
2015-02-24,53.215,53.499,53.006,53.356,1210374
2015-02-25,53.167,53.423,52.429,52.694,1998690
2015-02-26,52.562,52.742,52.183,52.364,520667
2015-02-27,52.117,52.364,51.19,51.663,867579
2015-03-02,51.738,52.505,51.275,52.505,1191667
2015-03-03,52.183,52.676,51.512,51.767,1940741
2015-03-04,51.937,52.505,50.925,51.587,811744
2015-03-05,51.644,52.581,51.644,52.41,945391
2015-03-06,52.127,52.883,51.975,52.883,690698
2015-03-09,53.914,53.914,52.458,53.451,990528
2015-03-10,53.195,53.347,52.145,52.278,908537
2015-03-11,52.06,52.392,50.915,51.265,996564
2015-03-12,51.285,51.843,50.963,51.104,1922635
2015-03-13,51.001,51.19,49.62,49.856,1017667
2015-03-16,49.705,50.897,49.705,50.14,661900
2015-03-17,50.14,51.881,50.14,51.569,1821799
2015-03-18,51.569,53.215,51.559,52.978,2015926
2015-03-19,52.978,53.612,52.713,53.404,1824906
2015-03-20,53.385,53.924,53.29,53.924,2718142
2015-03-23,53.981,54.038,53.47,53.924,451321
2015-03-24,53.688,54.397,53.688,54.397,1633757
2015-03-25,54.397,55.901,54.397,55.901,871358
2015-03-26,55.447,55.447,54.417,54.87,1104482
2015-03-27,54.87,56.1,54.596,54.984,872906
2015-03-30,55.021,56.374,55.021,55.864,747280
2015-03-31,55.703,56.1,55.485,56.053,872953
2015-04-01,55.438,56.365,55.438,55.485,658206
2015-04-02,55.665,57.14,55.532,57.094,654938
2015-04-07,57.094,58.938,56.904,57.945,1138024
2015-04-08,57.907,59.544,57.879,58.181,1305438
2015-04-09,58.134,60.017,58.134,59.894,1269792
2015-04-10,60.073,60.499,59.165,59.6,887200
2015-04-13,59.364,59.733,59.193,59.695,705826
2015-04-14,59.439,60.31,59.439,60.31,1148864
2015-04-15,60.3,61.294,58.559,59.43,1224741
2015-04-16,59.326,59.402,57.188,57.907,1773899
2015-04-17,57.652,58.626,56.762,56.762,1746117
2015-04-20,57.604,59.364,57.14,58.994,1787083
2015-04-21,59.6,60.073,58.929,60.073,1423919
2015-04-22,60.017,61.947,59.932,61.824,1710896
2015-04-23,62.146,62.675,60.405,61.512,1716072
2015-04-24,61.587,63.545,61.398,62.911,1686960
2015-04-27,62.931,66.091,62.911,65.56,1989770
2015-04-28,65.598,66.317,64.831,65.986,1796057
2015-04-29,65.986,66.242,63.734,63.952,1324573
2015-04-30,63.848,65.626,63.205,64.785,1638286
2015-05-04,65.182,66.222,65.182,66.024,1039468
2015-05-05,65.854,66.081,64.207,64.293,1474938
2015-05-06,64.293,64.803,61.985,62.438,1979892
2015-05-07,62.429,62.959,61.142,62.817,1654389
2015-05-08,62.533,64.823,62.486,64.33,1533856
2015-05-11,64.33,66.166,63.82,66.033,1627032
2015-05-12,66.033,66.204,64.634,66.033,1262770
2015-05-13,65.901,66.856,64.908,65.664,1897133
2015-05-14,65.636,65.93,63.621,63.791,980222
2015-05-15,63.857,65.182,63.857,64.756,679573
2015-05-18,65.097,66.204,64.87,65.844,762611
2015-05-19,65.938,69.297,65.892,69.297,1905719
2015-05-20,68.739,69.714,68.048,69.533,1306061
2015-05-21,69.505,69.581,68.266,68.587,575239
2015-05-22,68.341,68.418,66.771,68.162,786542
2015-05-25,67.575,68.114,66.061,66.695,498468
2015-05-26,66.411,67.717,66.336,67.689,630643
2015-05-27,67.452,68.966,67.263,68.966,1018543
2015-05-28,68.853,69.316,68.257,68.776,679468
2015-05-29,68.711,69.297,66.838,66.838,2202224
2015-06-01,66.838,68.587,66.838,67.112,987528
2015-06-02,67.357,67.925,66.128,67.14,1276792
2015-06-03,67.641,67.907,67.017,67.168,2109057
2015-06-05,67.168,67.244,66.336,66.383,2231790
2015-06-08,66.44,66.979,65.276,65.636,796688
2015-06-09,65.465,65.986,65.381,65.56,726649
2015-06-10,65.56,65.825,64.046,64.33,1224390
2015-06-11,64.709,66.099,64.69,65.683,873476
2015-06-12,65.588,66.033,64.917,65.087,472863
2015-06-15,65.475,66.871,64.942,65.64,682775
2015-06-16,65.349,66.784,65.184,66.25,703409
2015-06-17,66.066,66.764,65.252,65.572,1261644
2015-06-18,65.427,68.189,65.039,67.995,700923
2015-06-19,67.598,69.74,67.598,68.383,2119023
2015-06-22,68.771,70.68,68.722,70.341,780505
2015-06-23,70.554,71.63,70.215,70.215,704320
2015-06-24,70.321,70.835,69.856,70.273,721753
2015-06-25,69.982,71.048,69.885,69.924,1348822
2015-06-26,69.982,71.446,69.982,70.758,988440
2015-06-29,67.85,70.903,67.559,69.788,629883
2015-06-30,69.798,71.892,69.798,71.562,1724120
2015-07-01,71.562,71.562,68.431,68.431,1165501
2015-07-02,68.819,69.362,67.918,68.964,994274
2015-07-03,68.964,69.042,68.334,68.771,334898
2015-07-06,68.053,69.643,68.053,69.216,662230
2015-07-07,69.12,70.864,68.848,68.906,1391321
2015-07-08,68.868,71.407,68.868,69.672,1815126
2015-07-09,69.885,71.145,69.449,69.788,1173095
2015-07-10,70.758,70.758,70.04,70.573,579906
2015-07-13,70.758,71.174,70.37,70.835,337972
2015-07-14,70.835,72.066,70.758,71.523,1265862
2015-07-15,71.688,71.727,70.612,71.145,781952
2015-07-16,71.31,71.533,70.603,70.758,1540596
2015-07-17,70.845,71.126,70.321,70.515,1823743
2015-07-20,70.767,73.762,70.767,73.035,1584789
2015-07-21,73.665,76.738,73.481,76.486,2159851
2015-07-22,76.573,77.106,74.838,76.186,2816668
2015-07-23,71.727,73.956,70.447,72.696,3592180
2015-07-24,72.696,75.488,72.25,74.751,1982625
2015-07-27,75.546,75.934,73.956,74.15,1397719
2015-07-28,73.859,74.79,72.512,72.648,1862624
2015-07-29,72.89,74.635,72.308,74.538,1406369
2015-07-30,74.538,74.635,73.181,73.181,1785889
2015-07-31,73.665,74.373,72.338,73.801,2365550
2015-08-03,73.123,74.635,72.696,73.472,1075887
2015-08-04,73.026,74.644,72.851,74.635,1270617
2015-08-05,74.693,77.3,74.693,76.758,2225542
2015-08-06,76.089,79.927,76.089,79.636,1784460
2015-08-07,79.384,80.916,78.657,80.547,1520556
2015-08-10,80.557,81.081,79.995,80.499,804298
2015-08-11,80.45,82.379,80.111,82.166,1254267
